job_id,job_desc
11,"
Specialist, Product Management (Data Science and Analytics

Overview:

Overview
As Mastercard seeks to define a world beyond cash, we are pursuing payments across all technologies, verticals and use cases. One of the largest identified opportunities for Mastercard is revolutionizing consumer bill pay in North America. The Transfer Solutions team, which is responsible for this segment, is bringing new solutions to this ecosystem by combining our leading card and merchant networks with our bill pay assets. The Specialist will be part of the Bill Payment Rails team, which is a pillar of the Transfer Solutions team within the North America Product and Engineering organization.

Role
The Specialist will be responsible for driving data science, analytics, reporting and analysis for the RPPS bill payment network in North America. Responsibilities include:
• Design and implement an optimization program that will drive more transactions.
• Build KPI dashboards to monitor activity in the RPPS network. Actively monitor them and work with team members and other stakeholders to act on findings.
• Create reporting for partners that includes actionable data to drive greater usage of the network.
• Manipulate large data sets, analyze them, and take action based on the insights.
• Develop revenue forecasts and track actual performance against targets.
• Work with product development and engineering teams to define requirements for data-focused product roadmap items.
• Drive analysis for executive meetings and strategic initiatives.
• Collaborate with cross-functional stakeholders: product development, business operations, engineering, account management, marketing.

All About You
• Strong analytical mindset with the ability to extract learnings and identify key insights.
• Demonstrated success leveraging open-source tools, predictive analytics, machine learning, or other data techniques to perform analysis.
• Demonstrated ability to cleanse, manage, and manipulate large data sets.
• Excellent organizational and time-management skills with attention to detail and follow-through.
• Ability to react with appropriate levels of urgency to situations that require quick response or turnaround.
• Creative problem solver, able to influence others.
• Exceptional written and verbal communication skills.
• Strong team focus and ability to collaborate with team members and business partners.
• Results-driver, with flexible demeanor and willingness to pivot.
• Understands and can explain the business context and the associated customer use cases.
• Comfort with creating structure when ambiguous / complex circumstances arise.
• Strong sense of humor and willingness to have fun!
"
12,"
Job description

Machine Learning Engineer, Senior

The Opportunity:

As an experienced engineer, you know that machine learning is critical to understanding and processing massive datasets. Your ability to conduct statistical analyses on business processes using ML techniques makes you an integral part of delivering a customer-focused solution. We need your technical knowledge and desire to problem-solve to support development of an advanced prediction model which leverages medical imaging data. As a machine learning engineer on our AI Radiology team, you’ll train, test, deploy, and maintain models that learn from data. In this role, you’ll own and define the direction of mission-critical solutions by applying best-fit ML algorithms and technologies.

You’ll be part of a large community of machine learning engineers across the firm and collaborate with clinicians, data scientists, and product owners to deliver world class solutions. You will train, test, and deploy advanced statistical and ML models which modernize risk-stratification of patients. Your advanced consulting skills and extensive technical expertise will guide clients as they navigate the landscape of ML algorithms, tools, and frameworks. Work with us to solve real-world challenges and define ML strategy for our federal clients.

Empower change with us.

You Have:
• 4+ years of experience working in a machine learning engineering, data engineering, or data researcher role, including in a professional or academic environment
• Experience in Computer Vision
• Experience with machine learning frameworks, including Tensorflow or PyTorch
• Experience designing and developing machine learning algorithms, pipelines, and systems
• Experience in common data analytics and programming languages, including Python
• Knowledge of state-of-the art Machine Learning methods
• Ability to obtain and maintain a Public Trust or Suitability/Fitness determination based on client requirements
• Bachelor’s degree

Nice If You Have:
• 1+ years of experience in software development
• Experience working with clinical data
• Experience working collaboratively with teams on code
• Ability to communicate advanced Machine Learning concepts to a clinical audience
• Bachelor's degree in Machine Learning, Data Science, CS, or a related field

Vetting:

Applicants selected will be subject to a government investigation and may need to meet eligibility requirements of the U.S. government client.
"
13,"
Senior Lead Engineer - Generative AI Infrastructure (Remote-Eligible

Our mission at Capital One is to create trustworthy, reliable and human-in-the-loop AI systems, changing banking for good. For years, Capital One has been leading the industry in using machine learning to create real-time, intelligent, automated customer experiences. From informing customers about unusual charges to answering their questions in real time, our applications of AI & ML are bringing humanity and simplicity to banking. Because of our investments in public cloud infrastructure and machine learning platforms, we are now uniquely positioned to harness the power of AI. We are committed to building world-class applied science and engineering teams and continue our industry leading capabilities with breakthrough product experiences and scalable, high-performance AI infrastructure. At Capital One, you will help bring the transformative power of emerging AI capabilities to reimagine how we serve our customers and businesses who have come to love the products and services we build.

We are looking for an experienced Sr. Lead Engineer, Generative AI Infrastructure to help us build the foundations of our AI capabilities. You will work on a wide range of initiatives, whether that’s building large-scale distributed training clusters, or deploying LLMs on GPU instances for real-time applications and decisioning systems, or supporting cutting-edge AI research and development, all in our public cloud infrastructure. You will work closely with our cloud and container infrastructure teams as well as our world-class team of AI researchers to design and implement key capabilities. Examples of projects you will work on:
• Deploy a thousand-node training cluster optimizing storage and networking stack, with tightly coupled training pipelines to take advantage of multiple parallelism strategies, in our public cloud.
• Design and build fault-tolerant infrastructure to support long-running large-scale training tasks reliably despite failure of individual nodes, using containers and check-pointing libraries.
• Design and build run-time infrastructure for serving large ML models such as LLMs and FMs in our public cloud.
• Build infrastructure for deploying search indexes and embeddings in vector databases that will work closely with the rest of our capabilities.

Capital One is open to hiring a Remote Employee for this opportunity.

Basic Qualifications:
• Bachelor's degree in Computer Science, Computer Engineering or a technical field
• At least 8 years of experience designing and building data-intensive solutions using distributed computing
• At least 4 years of experience with HPCs, vector embedding, or semantic search technologies
• At least 4 years of experience programming with Python, Go, Scala, or Java
• At least 3 years of experience building, scaling, and optimizing training and inferencing systems for deep neural networks

Preferred Qualifications:
• Master's or Doctoral degree in Computer science, Computer Engineering, Electrical engineering, Mathematics, or a similar field.
• Background in machine learning with experience in large scale training and deployment of deep neural nets and/or transformer architectures.
• Experience with machine learning frameworks such as TensorFlow or Pytorch, Lightning, Mosaic ML etc.
• Ability to move fast in an environment with ambiguity at times, and with competing priorities and deadlines. Experience at tech and product-driven companies/startups preferred.
• Ability to iterate rapidly with researchers and engineers to improve a product experience while building the foundational capabilities.
• Familiarity with deploying large neural network models in demanding production environments.
• Experience with building GPU clusters in the public cloud with tightly-coupled storage and networking.
"
14,"
Description:The coolest jobs on this planet… or any other… are with Lockheed Martin Space.
At the dawn of a new space age, Lockheed Martin is a pioneer, partner, innovator and builder. Our amazing people are on a mission to make a difference in the world and every single day we use our skills and experiences to create, design and build solutions to some of the worlds’ hardest engineering problems. Our culture encourages employees to dream big, perform with excellence and create incredible products. We provide the resources, inspiration and focus and if you have the passion and courage to dream big, we want to build a better tomorrow with you.

The Cognitive and Advanced Strategic Solutions (CASS) group within Lockheed Martin Space is seeking an AI/ML Machine Learning Engineer to support several Machine Learning programs in the CASS portfolio. Our team works at the intersection of artificial intelligence and edge solutions, solving some of the most challenging problems in space.

You’ll work collaboratively with software engineers, AI/ML research engineers, mathematicians, physicists, and signal/image processing engineers from across the CASS portfolio on some of the most exciting and rewarding missions at Lockheed Martin Space. You will design, develop, and mature novel solutions to real-world problems and have opportunities to explore and integrate emergent technologies.
Basic Qualifications:
• Demonstrated proficiency in Python, C++, and/or Java
• Experience with one or more DevSecOps software development practices and/or tools
Desired Skills:
• Experience with DevSecOps tools such as Docker, Kubernetes, Rancher, Gitlab, etc.
• Knowledge of software architecture and design principles
• Experience with, or knowledge of, the development of an MLOps Pipeline
• Experience with modern software development concepts such as CI/CD, service-oriented architecture, infrastructure as code, and/or containerization
• Demonstrated proficiency in Python scripting and object-oriented development (Java, C++, C#)
• Experience with cloud computing platforms such as Amazon Web Services or Azure
• Ability to follow disciplined coding standards and practices
Security Clearance Statement: This position requires a government security clearance, you must be a US Citizen for consideration.
Clearance Level: TS/SCI
"
15,"
Summer 2024 Artificial Intelligence/Machine Learning Associate Internship

Job Location
• USA, VA Falls Church
• Any Location / Remote

Job Overview

GDIT Summer Internship Program - Summer 2024 Artificial Intelligence/Machine Learning Associate Internship

Sponsorship is not available for this role.

At GDIT, our people are our business. We pride ourselves on the work our innovators do to support and secure some of the most complex government, defense, and intelligence projects across the world. We wouldn't be successful without our ability to attract new talent to join our team.

What sets a GDIT internship experience apart from other organizations in the industry?

GDIT's Summer Internship Program is designed with you in mind! Our internship provides you the opportunity to be a part of a collaborative team that is helping to solve our clients' most challenging matters. Throughout GDIT's 10-week Summer Internship Program, you will have the opportunity to:
• Work side-by-side with GDIT professionals delivering work for clients.
• Collaborate with a team of peers to research and propose solutions to a current business challenge.
• Participate in a mentoring circle led by an early career champion.
• Interact with GDIT leaders.
• Participate in professional development.

Compensation

The likely hourly rate for this position is between $19.08 - $31.86. This is not, however, a guarantee of compensation or salary. Rather, salary will be set based on experience, geographic location and possibly contractual requirements and could fall outside of this range.

Responsibilities

During the Artificial Intelligence/ Machine Learning Associate Internship, you will:
• Work on a range of projects related to artificial intelligence and machine learning.
• Use statistical techniques to provide insights into internal or external customer data.
• Guide decision-making and enhance user experience.
• Build machine learning algorithms or work on artificial intelligence system deployments.
• Apply computer languages and their applications to enable a system to perform specific functions.

Requirements

Candidate qualifications:
• Currently enrolled in an associate's, bachelor's or master's degree program in computer science, IT, engineering, or other STEM field from a United States-based college or university.
• Basic understanding of Microsoft Office products (e.g., Word, PowerPoint, SharePoint, Excel, and Teams).
• Problem-solving skills and interest in big data.
• Interest in data transformation, model selection, cross-validation, and deployment.
• Interest or experience with big data platform tools.
• Knowledge of statistical techniques.
• Knowledge of Python or other programming languages.
• Experience working in a collaborative team environment.
• Intuitiveness with an ability to identify and solve complex problems related to rapidly changing technology.
• Ability to effectively articulate technical challenges and solutions.
• US citizenship is not required.
"
16,"
Do you have a passion for creating machine-learning-based tools that enable the safe development and deployment of autonomous systems

Do you want to make an impact on the future of our nation's defense capabilities?

Do you thrive in dynamic and collaborative environments?

If so, we are looking for someone like you to join our team at APL! We are seeking a talented and motivated Machine Learning Engineer to join the Ocean Systems and Engineering Group. In this role, you will play a crucial part in the development of innovative testing solutions that incorporate sophisticated ML capabilities. You will work closely with multidisciplinary teams in an agile software and rapid prototyping environment to build the next generation of software and machine-learning-based test tools for autonomous platforms. These test tools will help assure the safety and performance of the novel capabilities deployed in operational environments by our service members.

As a Machine Learning Engineer you will.....
• Leverage and advance machine-learning approaches to evaluate the performance of autonomous systems.
• Apply the fields of data science and statistics to verify autonomous decision processes.
• Develop and implement full-lifecycle testing software for assuring autonomous behavior. This includes interface and standards definition, agile software development, simulation-based tool development, field-testing, full-scope documentation, and technical reviews.
• Design, develop and configure simulation environments used to test and evaluate autonomy algorithms in autonomous systems.
• Plan, complete, and analyze field tests and experiments.

Qualifications

You meet our minimum requirements for the job if you...
• Possess a Bachelor’s degree in Software Engineering, Computer Science, or a related technical field, such as Robotics, Physics, or Mathematics.
• Have 5+ years of relevant software development expertise.
• Have 3+ years of experience applying and developing machine-learning algorithms, particularly in the areas of imitation and reinforcement learning.
• Have demonstrated full-lifecycle software development experience in either C++, Python, or Java.
• Are passionate about software design, software engineering, and developing groundbreaking tools for autonomous platforms.
• Possess strong organization and planning skills, with record of accomplishment in a team environment.
• Have excellent interpersonal skills and outstanding written and oral communications skills.
• Are able to work within the government infrastructure and address leadership roles in a diverse environment of contractors, government, and user staff.
• Are able to obtain an interim Secret level security clearance by you start date and can ultimately obtain a final Secret level clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to Secret classified information. Eligibility requirements include U.S citizenship.

You'll go above and beyond our minimum requirements if you...
• Have a Master of Science in Machine Learning, Artificial Intelligence, Computer Science, or a related technical field.
• Have significant experience in developing machine-learning-based test and evaluation software.
• Have significant experience developing and integrating autonomous maritime systems.
• Hold an active Secret security clearance.
"
17,"
JPI is currently seeking an innovative, meticulous, and communicative Business Analyst to support our consulting services to assist with on-going efforts to provide high quality project support services and collaborate with the client's staff program managers to offer state-of-the-art services to its internal customers. In support of our client, you will assist with the identification and facilitated deployment of best practices currently employed in the private and public sectors to improve, sustain and mature the client's project management and business analysis processes.

At JPI, we strive to empower our people and excel for our clients. We hold ourselves to high standards and prioritize our values of being one team with unwavering integrity. We are motivated by perpetual innovation and delivering passionate service to our clients.

Job Responsibilities:
• Keep current with advances in tools and techniques within project and program management discipline and share this knowledge with team members
• Act in a consultative manner, proactively offering recommendations and value-added advice to help CFPB achieve its strategic objectives in the most effective and cost-efficient manner
• Respond promptly and courteously to work requests by stakeholders
• Document and archive all work, creating an effective audit trail
• Support alignment of the client's project portfolio with business strategies, target architecture, and budget
• Provide improvement in processes for translating business strategy into technology decisions
• Provide effective management of risks and issues at the portfolio, program, and project levels
• Support process standardization, implementation of best practices, and strategic planning
• Facilitate information management services, governance and compliance, and communications and change management
• Analyze complex business processes and identify opportunities for efficiency and/or solutions to resolve process gaps or related business challenges
• Engage with stakeholders to gather and analyze business and technical requirements and map them to solutions, platforms, and/or capabilities
• Document, analyze, optimize, and streamline business processes, communications, presentation materials and standard operating procedures
• Conduct stakeholder interviews and facilitate stakeholder workshops
• Collaborate with project managers and technical experts to present impacts and risks of the program and/or business requirements gathered to appropriately frame choices for business owners
• Use Agile project management tools to support client projects

Required Skills:
• Must be a U.S. Citizen
• Bachelor's Degree (BS/BA) or equivalent
• Minimum of ten (10) years of experience conducting business analysis and capturing business and technical requirements for IT projects
• Industry standard business analyst certification(s) such as Certified Business Analysis Professional (CBAP)
• Experience leading and directing project team members in in-depth analysis and evaluation
• Strong communication and presentation skills
• Must be able to successfully complete a Background Investigation and obtain required Government Security clearance
• Experience working with phase-based and Agile delivery methods
• Experience with Jira, ServiceNow and/or other Agile tools
• Must be able to work well both in a team environment and independently.
• Must possess exceptional attention to detail
• Excellent interpersonal and communication skills
• Familiarity with government projects and policy/procedures teams
• Demonstrates ability to interact comfortably with Senior Leadership and/or Government Executives and staff on a day-to-day basis
• Experience in managing client requirements and small teams
• Excellent analytical skills and business presentation skills
• Leads and/or assists onboarding new team members and training existing team members on new tasks as necessary

Desired Skills:
• Experience supporting US Federal Agencies
• Industry standard project management certification(s) such as Project Management Professional (PMP) or Scrum Master
"
18,"
Job Description Join our team supporting an initiative to simplify and coordinate business management processes across Agency-wide grants management program. This position is responsible for ensuring discovery, requirements elicitation, and documentation comply with the Federally governed delivery approach and incorporate industry best practices. Help create streamlined grants processes derived from common business processes to achieve a unified technology platform. This cross-agency and integrated approach will improve the oversight and monitoring of funding allocations and support integrated data analytics across the program areas for improved efficiencies.Required Education, Experience, & Skills Organize and facilitate Business Scoping and Requirements meetings. Author business and data requirements documents.
• Conduct one-on-one interviews with SMEs (subject matter experts) and end uers to collect detailed requirements where appropriate.
• Include business decision making scenarios and business information terminology within requirements details.
• Assist business/user-side stakeholders in defining high profile business needs that require detailed data to support business actions.
• Perform analysis of business requirements as they relate to existing systems. Document interrelations and overlaps (users, functionality, data, etc.) where appropriate.
• Develop and maintain a library of requirements gathering tools and techniques.
Deliver and review requirements with program leadership (program manager and Technical Lead) as well as selected individuals across third parties to ensure complete understanding and hand-off of requirements.
• Understanding of Agile development processes.
• Support engineering and DevOps teams ensuring user expectations and requirements align with requirements.
• Act as lead between stakeholders and end users when detailed process and data discussions require end user engagement.

Preferred Education, Experience, & Skills
• Must have strong communication skills and ability and desire to lead. Must work effectively in team-based organization with fluid functions and demanding users.
• Able to communicate with business stakeholders in a manner that focuses on business-level terminology, decisions, and issues. This includes the translation of business requirements into data and data-oriented business questions.
• Experience working all facets of requirements gathering, identification and analysis (business requirements, data requirements, functional requirements).
"
19,"
Description

SFI is responsible for business and management analysis for a federal agency. This is a large-scale IT software development effort implementing Scaled Agile Framework (SAFe). We are looking for a business analyst to provide product management, voice of the customer, and requirements management.

Primary Responsibilities
• Analyze user needs to determine functional and cross-functional requirements throughout the standard development life cycle.
• Collaborate with stakeholders and product teams to decompose large epic stories into features and user stories that can be understood and approved by members of the development team.
• Develop strategic frameworks, providing a basic structure of program missions, vision, and goals.
• Document stories and manage backlog in GIT.
• Proven experience writing detailed functional and technical requirements.
• Provide product management support such as prioritization and backlog grooming.
• Provide analysis for associated tasks during the life cycle.
• Coach the team to create better solutions, improve business results, and better their processes.
• Facilitate team meetings, including Backlog Refinement / Iteration Planning / Daily Stand-Up / Iteration Review / Iteration Retrospective
• Remove impediments and barriers to the team’s progress.
• Communicate and track agreed upon team metrics.
• Communicate and coordinate meetings, presentations, and develop work products.
• Develop test cases.
• Ensure requirements are tested and provide expected functionality.
• Other activities shall include:
• Project planning
• Scope management
• Change management
• Issues management
• Risk management
• Quality management
• Problem solving and conflict-resolution

Requirements
• Minimum 6 to 8 years of technical writing experience.
• Strong written and verbal communications skills.
• Proven ability to quickly learn and understand complex subject matter.
• Experience with GIT.
• Ability to handle multiple projects simultaneously.
• Experience with SAFe/Agile/DevSecOps.

Desired Skills & Qualifications
• Firm understanding of SDLC (systems development lifecycle).
• Federal agency experience.
"
20,"
Job description
Why you want to work here:
This is a great opportunity for a recent college graduate who wants to do business analyst work for a fast-growing government contracting company. We placed someone in this role earlier and they just got promoted

Benefits/Perks:
• Stability and long-term growth options
• Great work-life balance; Generous Vacation Time
• Family oriented atmosphere; Great Health Insurance (Health, Vision, and Dental)
Culture:
• Close-knit team environment
• Established and collaborative ambiance
• Supportive peers and management

Responsibilities for Entry Level Business Analyst:
• Support the research and accounting departments
• Develop multi-year budget spreadsheets
• Work with management to prioritize business and information needs
• Interpret data, analyze results using statistical techniques and provide ongoing reports
• Acquire data from primary or secondary data sources and maintain databases/data systems
• Identify, analyze, and interpret trends or patterns in complex data sets

Requirements for Entry Level Business Analyst:
• BS in Business, Mathematics, Economics, Computer Science, Information Management or Statistics
• Must have experience with SPSS
• Candidate must have strong capability with Excel spreadsheets and experience using statistical packages for analyzing datasets, such as SPSS.
• Excellent organizational skills and attention to detail are crucial.
• Candidates must be comfortable in a team environment and be able to multitask.
About our Company:

We are a medium sized government contractor that's always ranked as a best places to work. You will be able to work with the executive team on a day-to-day basis.
"
21,"

Project Manager/Business Analyst - Information Systems Technology (IST) - Georgetown University Law Center

Located in a historic neighborhood in the nation's capital, Georgetown offers rigorous academic programs, a global perspective, exciting ways to take advantage of Washington, D.C., and a commitment to social justice. Our community is a tight knit group of remarkable individuals interested in intellectual inquiry and making a difference in the world.

Requirements

Project Manager/Business Analyst - Information Systems Technology (IST) - Georgetown University Law Center

Job Overview

Georgetown University Law Center's Information Systems Technology (IST) is seeking a Project Manager/ Business Analyst with a minimum of five years of experience in the area of project management, business systems analysis, IT development and/or related field.

Reporting to the IT Project Director. the Project Manager / Business Analyst is responsible for requirements identification and management, as well as the management of small, medium and large IST projects through the full project lifecycle. Projects include but are not limited to deployment of new software and hardware systems, upgrades and enhancements to existing systems, network infrastructure upgrades, web development, business process improvements, and systems administration.

The Project Manager / Business Analyst is an integral member of the Project Management / Web Development team and interacts with both Law Center and University colleagues, Vendors and Integrators - including but not limited to:
• Supporting Various Departments: Assisting various academic departments and personnel including Academic Affairs, Financial Aid, Office of the Registrar, and Department of Public Safety, ensuring that their technical, operational, and strategic requirements are captured accurately and addressed accordingly in projects.
• Cross-functional Collaboration: Coordinating with other IT and business offices, including Service Desk, Instructional and Academic Technologies, PMO, Web Development Audiovisual, Finance, Security and Contracts to ensure projects are aligned with University goals and stakeholder needs
• External Stakeholder Engagement: Building and maintaining relationships with external stakeholders, including vendors, consultants, and contractors, to facilitate smooth project integration, execution, and implementation.
• Meeting Facilitation and Interaction: Organizing and conducting requirements gathering sessions, lessons learned meetings, demos, training sessions, and facilitating various project meetings to keep stakeholders informed and up to date on project progress and requirements.
Requirements and Qualifications
• Bachelor's degree in business, technology, or a related field
• At least 5 years of project management experience, including 3 years of business analysis
• Strong analytical, planning, and organizational skills with attention to detail
• Demonstrated ability to prioritize multiple simultaneous projects
• Excellent verbal and written communication skills with ability to write documentation and reports as needed and to interface effectively with all stakeholders
• Strong interpersonal skills and ability to work collaboratively and responsively in a dynamic, fast-paced environment
• Proficiency with basic data management systems and basic computer applications (e.g., Word, Excel, Access, and PowerPoint, Google Workspace, Formstack, Box) and a willingness and ability to learn additional applications as needed
• Ability to work effectively with faculty, administrators, students, alumni and external constituents
• Comfortable with facilitating meetings and making presentations to project stakeholders
• Ability to work both independently with minimal supervision as well as a member of a team
• Ability to manage multiple competing initiatives independently or with finite resources
• Ability to complete highly complex project tasks and to move between different and multiple tasks as priorities sometimes conflict and must be reviewed or shifted to meet deadlines
• Strong negotiation, diplomacy, and problem-solving skills
• Experience in higher education
• Leadership skills
• Eagerness to learn new skills
• Commitment to diversity and to serving the needs of a diverse population
Preferred Qualifications
• PMP certification
• Business Analyst certification
Work Mode: Hybrid. Please note that work mode designations are regularly reviewed in order to meet the evolving needs of the University. Such review may necessitate a change to a position's mode of work designation. Complete details about Georgetown University's mode of work designations for staff and AAP positions can be found on the Department of Human Resources Mode of Work Designation.
"
22,"
Are you passionate about driving innovation through machine learning? Do you thrive in building and optimizing RL systems? If so, we have an exciting opportunity for you as a founding team member and Reinforcement Learning Scientist at fast growing incubation.

We’re currently looking for creative, smart people who want to join our team of world-renowned researchers as we push the boundaries applying AI to complex problems. As a Senior Analyst specializing in Reinforcement Learning, you will be at the forefront of driving the development and optimization of our RL models. You will play a crucial role in building and training Reinforcement Learning Models and designing feedback systems to continuously improve their performance. If you're a forward-thinking, technically adept individual with a passion for machine learning, this role is for you.

Responsibilities:
• Integrate with an interdisciplinary team of experts in optimization and simulation to design, build, and optimize models to deliver high-quality, real-world results.
• Design and implement novel RL algorithms and approaches to solve complex problems, ensuring efficiency and scalability.
• Develop and implement feedback mechanisms to continuously improve the accuracy and effectiveness of RL models.
• Stay up-to-date with the latest advancements in reinforcement learning and implement best practices to enhance our ML infrastructure.
• Communicate complex technical concepts and findings to non-technical stakeholders in a clear and concise manner.
• Collaborate with cross-functional teams to understand business requirements and translate them into actionable ML solutions.

Requirements:
• Proven experience in a leadership role driving RL system development and optimization.
• Demonstrated expertise in building RL models for complex real-world problems and building robust training pipelines.
• Extensive experience implementing reinforcement learning in complex domains – preferably with multi-agent systems or models that require temporal abstraction.
• Proficiency in programming languages like Python, Java or C++ and the ability to write efficient, clean, and maintainable code.
• Excellent written and verbal communication skills, with the ability to convey technical concepts to both technical and non-technical audiences.
• A Master's degree in Computer Science, Engineering, or a related field. A Ph.D. with a focus in Reinforcement Learning or a relevant area with a publication history is ideal.
• U.S. citizenship is required

Benefits:
• Competitive salary and performance-based bonuses.
• Comprehensive health and wellness benefits package.
• Flexible work hours.
• Opportunities for professional development and continued learning.
• Collaborative and inclusive work environment
"
23,"
About Management Leadership For Tomorrow (MLT)

Management Leadership for Tomorrow (MLT) exists to advance racial equity and social justice. We do this by elevating the career and economic trajectory of People of Color (POC) while changing employer practices to improve outcomes for all

Launched in 2002, MLT is a national nonprofit dedicated to transforming the corporate landscape in America by empowering the next generation of diverse leaders. We believe individuals of Black, Latine, and Native American (BLNA) descent should not just survive, but thrive. MLT’s programs for BLNA talent span college through mid-career to senior-level including c-suite and board of directors. We provide the next generation of diverse leaders with skills, coaching, and valuable relationships to accelerate their personal and professional trajectories.

Today, we partner with over 200 notable organizations across a variety of fields including tech, finance, and education. With over two decades of experience in developing and implementing racial equity strategies, MLT provides organizations with a winning DEI playbook, strategies, and tactics. Our Racial Equity at Work Certification Programs set a clear standard and roadmap for companies that are committed to advancing Black and Hispanic Equity in their workplaces.

Position Overview

MLT is urgently seeking a Systems Analyst, to assist with supporting the organization’s cloud-first technology strategy which has become even more critical during the current health crisis. S/he will support a broad spectrum of applications and data flows ranging from applicant admissions and online program delivery to a Salesforce-centric data architecture. S/he will be responsible for supporting key applications and supporting analytics through data reporting and report building.

The successful candidate will have an innate desire to simply “make things work better” and a broad enthusiasm in the application of technology to not just improve productivity but as a means to enable entirely new forms of program delivery. This position will be based in MLT’s Bethesda, MD headquarters and reports to MLT’s Senior Director of Technology and Applications.

At this time MLT is unable to provide sponsorship

Responsibilities
• Supporting MLT’s Salesforce CRM, providing training and support for staff, building specialized reports, and administering system / features as needed (30%)
• Supporting a range of cloud-based services that maximize efficiency, promote consistent data collection, and reduce duplicative work between MLT systems including Salesforce CRM, program technology, surveys and assessments, finance software, and HR software (30%)
• Supporting data cleanup and collection across various systems (30%)

Qualifications
• Bachelor's Degree required and a Minimum of 2 years of experience in digital technology and online platforms, with some material exposure to cloud-based CRM management platforms (Salesforce strongly preferred)
• Experience working across a broad portfolio of network, application, telecommunications, data integration, and web platform technologies
• Excellent technical skills, a demonstrated knowledge of emerging technologies, and an enthusiasm around using technology to solve business problems
• Strong analytical and problem-solving skills
• Ability to work independently
• Demonstrated ability to communicate well, understand business objectives and translate them into technology solutions
"
24,"
Senior Systems Analyst

Description: This series covers engineers, professional licensed engineers, scientists, and NAS systems analysts. The series is intended to provide services in support of NAS systems rather than business oriented IT systems. The series is also intended to provide engineering service in support of Air Transportation Support activities for operational locations including facility maintenance, modification and remediation as well as various levels of equipment repair. R&D support service resources may be specified from this labor category series. Logistic support elements that require engineering would normally be staffed within this labor categories series.

Qualifications: Engineering, math, and science degrees are required.

When supporting tasks that are Air Traffic Operations, Air Traffic Safety System, Air Traffic Management, Air Traffic Operations Training, Air Traffic Safety System Training, or Air Traffic Management Training, for the Senior and Senior with Certification Levels, any combination of degree, certification and relevant experience will be considered if the relevant experience requirement is satisfied.
"
25,"
Duties
• Serves as an expert analyst of wholesale Department of Defense (DoD) Supply Chain functional subject areas in the Defense Logistics Management Standards (DLMS) program office,
• (continued) completing in-depth research, drafting changes for coordination and approval, and supporting implementation of system changes.
• Interprets implementation conventions and extensible markup language (XML) schemas based on American National Standards Institute (ANSI) Accredited Standards Committee (ASC) Electronic Data Interchange (EDI).
• Negotiates complex business rules with Components and other trading partners for DLMS-based technology standards to include uniform policies, procedures, time standards, transaction sets, forms, and data management.
• Reviews, coordinates, and develops related policies and procedures that support acquisition and sustainment, as well as internal controls that facilitate auditability, as a DoD Supply Chain functional subject matter process expert.
• Acts as liaison and advisor to the USD(A and S) and USD(C), Defense Automatic Addressing System (DAAS), and Federal Logistics Information Service (FLIS).
• Engages with contract entities and other trading partners such as General Services Administration (GSA), Federal Aviation Administration (FAA), National Oceanic and Atmospheric Administration (NOAA), and the Coast Guard.

Requirements
• Must be a U.S. citizen
• Tour of Duty: Set Schedule
• Security Requirements: Non-Critical Sensitive
• Appointment is subject to the completion of a favorable suitability or fitness determination, where reciprocity cannot be applied; unfavorably adjudicated background checks will be grounds for removal.
• Fair Labor Standards Act (FLSA): Exempt
• Selective Service Requirement: Males born after 12-31-59 must be registered or exempt from Selective Service.
• Recruitment Incentives: Not Authorized
• Bargaining Unit Status: No
• Pre-Employment Physical: Not Required
• Defense Acquisition Workforce position. Must complete DoD certification and other requirements. See Addtl Info.
• This position and any future selections from this announcement may be used to fill various shifts located within J6 Information Operations.

Qualifications
To qualify for a Supply Systems Analyst your resume and supporting documentation must support:

A. Specialized Experience: One year of specialized experience that equipped you with the particular competencies to successfully perform the duties of the position and is directly in or related to this position. To qualify at the GS-14 level, applicants must possess one year of specialized experience equivalent to the GS-13 level or equivalent under other pay systems in the Federal service, military, or private sector. To qualify at the GS-13 level, applicants must possess one year of specialized experience equivalent to the GS-12 level or equivalent under other pay systems in the Federal service, military, or private sector. Applicants must meet eligibility requirements including time-in-grade (General Schedule (GS) positions only), time-after- competitive appointment, minimum qualifications, and any other regulatory requirements by the cut-off/closing date of the announcement. Creditable specialized experience includes:
• GS-14: Designs business rules and development of processes and policies associated with DoD priorities. Providing recommendations to systems and business rules design within DoD to support long range strategies, business transformation and modernization efforts, and auditability. Designs, developments and executes data and metadata management policies, procedures, and operations. Develop process and policy around cataloging, supply discrepancy reporting, inventory management, order management, or interfund billing. Develops and uses electronic data interchange (EDI) techniques.
• GS-13: Supporting design of DoD Component or agency business rules and development of processes associated with Component or agency priorities. Providing recommendations and/or strategic information to decision makers on systems and business rules design to support long range strategies, business transformation and modernization efforts, and auditability. Supports the design, development, execution, or oversight of data management policies, procedures, and operations. Performs cataloging actions, supply discrepancy reporting, inventory management, order management, or interfund billing.
B. Education Substitution: Applicants may not qualify for this position based on education in lieu of specialized experience.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience
"
